,UF,acesso_a_Internet,Renda_per_capita
82268,RJ,sim,366.0
82272,RJ,sim,416.0
82273,RJ,não,322.0
82274,RJ,sim,922.0
82276,RJ,não,102.0
82277,RJ,não,400.0
82279,RJ,não,544.0
82280,RJ,sim,583.0
82281,RJ,não,650.0
82282,RJ,não,50.0
82283,RJ,não,550.0
82284,RJ,sim,295.0
82285,RJ,sim,124.0
82337,RJ,sim,2024.0
82343,RJ,não,750.0
82344,RJ,sim,469.0
82345,RJ,sim,2412.0
82347,RJ,sim,1000.0
82348,RJ,sim,1397.0
82349,RJ,não,331.0
82350,RJ,sim,1136.0
82351,RJ,sim,1150.0
82352,RJ,sim,600.0
82353,RJ,sim,3650.0
82354,RJ,não,650.0
82355,RJ,não,788.0
82356,RJ,sim,1050.0
82357,RJ,sim,1125.0
82358,RJ,sim,788.0
82359,RJ,sim,394.0
82360,RJ,não,1182.0
82361,RJ,não,394.0
82362,RJ,não,1000.0
82363,RJ,não,625.0
82364,RJ,sim,895.0
82365,RJ,não,187.0
82366,RJ,não,535.0
82367,RJ,não,788.0
82368,RJ,sim,526.0
82369,RJ,não,283.0
82370,RJ,sim,366.0
82371,RJ,sim,286.0
82372,RJ,sim,545.0
82373,RJ,não,128.0
82374,RJ,sim,591.0
82375,RJ,não,362.0
82376,RJ,não,316.0
82378,RJ,sim,600.0
82379,RJ,sim,262.0
82380,RJ,sim,544.0
82383,RJ,não,466.0
82384,RJ,não,894.0
82385,RJ,sim,75.0
82386,RJ,sim,715.0
82387,RJ,sim,166.0
82388,RJ,sim,112.0
82389,RJ,sim,597.0
82390,RJ,não,394.0
82391,RJ,sim,533.0
82392,RJ,não,600.0
82394,RJ,sim,477.0
82395,RJ,não,567.0
82396,RJ,não,2350.0
82397,RJ,não,788.0
82399,RJ,não,800.0
82400,RJ,sim,316.0
82401,RJ,não,100.0
82402,RJ,não,1394.0
82404,RJ,sim,825.0
82406,RJ,não,788.0
82410,RJ,não,3000.0
82411,RJ,sim,527.0
82412,RJ,sim,766.0
82413,RJ,sim,778.0
82415,RJ,sim,22500.0
82418,RJ,sim,7000.0
82419,RJ,sim,375.0
82420,RJ,não,888.0
82422,RJ,não,66.0
82423,RJ,sim,762.0
82424,RJ,sim,1200.0
82425,RJ,não,992.0
82426,RJ,não,863.0
82427,RJ,não,1333.0
82429,RJ,não,788.0
82432,RJ,não,788.0
82433,RJ,sim,700.0
82434,RJ,não,350.0
82435,RJ,não,600.0
82436,RJ,não,75.0
82437,RJ,não,1100.0
82438,RJ,sim,993.0
82439,RJ,não,884.0
82440,RJ,sim,2022.0
82441,RJ,sim,796.0
82442,RJ,não,1066.0
82443,RJ,não,726.0
82444,RJ,sim,450.0
82446,RJ,sim,1150.0
82447,RJ,sim,739.0
82448,RJ,sim,537.0
82449,RJ,sim,733.0
82450,RJ,sim,500.0
82451,RJ,não,788.0
82452,RJ,sim,3000.0
82453,RJ,sim,700.0
82454,RJ,não,263.0
82455,RJ,sim,600.0
82456,RJ,sim,263.0
82457,RJ,sim,580.0
82458,RJ,não,789.0
82460,RJ,sim,106.0
82461,RJ,sim,470.0
82462,RJ,sim,913.0
82463,RJ,não,1576.0
82464,RJ,não,869.0
82465,RJ,não,750.0
82466,RJ,sim,744.0
82467,RJ,sim,1083.0
82468,RJ,sim,788.0
82469,RJ,sim,206.0
82470,RJ,sim,600.0
82471,RJ,sim,2466.0
82472,RJ,sim,557.0
82473,RJ,não,600.0
82474,RJ,não,142.0
82476,RJ,não,600.0
82477,RJ,sim,407.0
82478,RJ,sim,735.0
82479,RJ,sim,483.0
82480,RJ,sim,900.0
82481,RJ,sim,789.0
82482,RJ,sim,1844.0
82483,RJ,sim,1697.0
82484,RJ,não,1014.0
82485,RJ,sim,600.0
82486,RJ,sim,394.0
82487,RJ,não,1576.0
82488,RJ,sim,400.0
82489,RJ,não,789.0
82490,RJ,sim,1266.0
82491,RJ,sim,1252.0
82492,RJ,não,789.0
82493,RJ,sim,1300.0
82494,RJ,não,789.0
82495,RJ,não,400.0
82496,RJ,sim,696.0
82497,RJ,não,1576.0
82498,RJ,sim,616.0
82499,RJ,não,647.0
82500,RJ,não,788.0
82501,RJ,sim,397.0
82502,RJ,não,200.0
82503,RJ,sim,394.0
82504,RJ,sim,42.0
82506,RJ,sim,1325.0
82507,RJ,sim,1250.0
82510,RJ,não,1151.0
82511,RJ,não,700.0
82513,RJ,sim,466.0
82514,RJ,não,443.0
82516,RJ,não,788.0
82518,RJ,não,266.0
82519,RJ,sim,315.0
82521,RJ,não,343.0
82522,RJ,não,916.0
82523,RJ,não,788.0
82524,RJ,sim,274.0
82525,RJ,sim,1966.0
82526,RJ,sim,844.0
82527,RJ,sim,380.0
82528,RJ,sim,466.0
82529,RJ,sim,794.0
82531,RJ,não,1000.0
82532,RJ,sim,929.0
82533,RJ,sim,2300.0
82534,RJ,não,1744.0
82535,RJ,sim,966.0
82536,RJ,sim,650.0
82537,RJ,não,700.0
82539,RJ,sim,500.0
82540,RJ,sim,896.0
82541,RJ,não,700.0
82542,RJ,sim,794.0
82543,RJ,sim,1171.0
82544,RJ,não,1500.0
82545,RJ,sim,1187.0
82547,RJ,não,56.0
82548,RJ,sim,800.0
82549,RJ,não,262.0
82550,RJ,sim,1300.0
82551,RJ,não,1576.0
82552,RJ,sim,1075.0
82553,RJ,não,678.0
82554,RJ,sim,731.0
82555,RJ,não,600.0
82556,RJ,sim,610.0
82557,RJ,sim,1000.0
82558,RJ,não,1200.0
82559,RJ,sim,262.0
82560,RJ,sim,666.0
82561,RJ,sim,197.0
82562,RJ,sim,337.0
82563,RJ,sim,1472.0
82564,RJ,sim,425.0
82565,RJ,sim,483.0
82566,RJ,não,788.0
82567,RJ,não,77.0
82568,RJ,não,400.0
82569,RJ,sim,2750.0
82570,RJ,sim,1900.0
82571,RJ,sim,618.0
82572,RJ,sim,145.0
82573,RJ,não,1200.0
82574,RJ,sim,200.0
82575,RJ,sim,634.0
82576,RJ,sim,400.0
82577,RJ,sim,1242.0
82578,RJ,sim,376.0
82579,RJ,não,150.0
82580,RJ,sim,377.0
82581,RJ,sim,315.0
82582,RJ,não,214.0
82583,RJ,sim,929.0
82584,RJ,sim,591.0
82585,RJ,sim,533.0
82586,RJ,não,1000.0
82587,RJ,sim,6400.0
82588,RJ,sim,450.0
82589,RJ,sim,616.0
82590,RJ,sim,1150.0
82591,RJ,sim,3950.0
82592,RJ,sim,3100.0
82593,RJ,sim,600.0
82594,RJ,não,533.0
82595,RJ,sim,266.0
82596,RJ,sim,1600.0
82597,RJ,não,1750.0
82598,RJ,sim,333.0
82599,RJ,sim,1500.0
82600,RJ,sim,533.0
82601,RJ,sim,157.0
82602,RJ,não,1100.0
82603,RJ,sim,650.0
82604,RJ,não,100.0
82605,RJ,sim,596.0
82606,RJ,não,305.0
82607,RJ,não,629.0
82609,RJ,não,469.0
82610,RJ,não,800.0
82611,RJ,não,900.0
82612,RJ,sim,1066.0
82613,RJ,não,188.0
82614,RJ,não,1029.0
82616,RJ,não,394.0
82617,RJ,não,788.0
82619,RJ,não,394.0
82620,RJ,não,544.0
82622,RJ,não,1350.0
82623,RJ,não,544.0
82624,RJ,sim,164.0
82625,RJ,não,329.0
82626,RJ,sim,530.0
82627,RJ,não,550.0
82628,RJ,sim,262.0
82629,RJ,sim,448.0
82630,RJ,sim,278.0
82631,RJ,não,302.0
82632,RJ,não,884.0
82633,RJ,não,400.0
82634,RJ,não,750.0
82635,RJ,sim,662.0
82636,RJ,não,586.0
82637,RJ,sim,377.0
82638,RJ,sim,400.0
82639,RJ,não,371.0
82640,RJ,sim,844.0
82642,RJ,não,402.0
82643,RJ,não,1225.0
82644,RJ,sim,555.0
82645,RJ,não,788.0
82646,RJ,não,500.0
82647,RJ,não,1570.0
82648,RJ,não,666.0
82649,RJ,sim,525.0
82650,RJ,não,333.0
82651,RJ,não,800.0
82652,RJ,não,300.0
82653,RJ,não,900.0
82654,RJ,sim,500.0
82655,RJ,não,790.0
82656,RJ,não,794.0
82657,RJ,não,446.0
82658,RJ,não,575.0
82659,RJ,sim,594.0
82660,RJ,sim,762.0
82661,RJ,não,1033.0
82662,RJ,sim,1000.0
82663,RJ,sim,955.0
82664,RJ,sim,495.0
82665,RJ,não,788.0
82666,RJ,sim,262.0
82667,RJ,sim,620.0
82669,RJ,sim,2994.0
82670,RJ,não,340.0
82671,RJ,não,750.0
82673,RJ,não,394.0
82675,RJ,não,544.0
82676,RJ,sim,445.0
82677,RJ,não,425.0
82680,RJ,não,1963.0
82681,RJ,sim,800.0
82682,RJ,sim,662.0
82684,RJ,sim,2500.0
82685,RJ,sim,500.0
82687,RJ,não,560.0
82688,RJ,não,800.0
82689,RJ,não,1150.0
82690,RJ,não,500.0
82691,RJ,sim,1050.0
82692,RJ,não,825.0
82693,RJ,sim,1666.0
82694,RJ,não,1100.0
82695,RJ,não,766.0
82696,RJ,sim,400.0
82697,RJ,sim,275.0
82698,RJ,não,200.0
82699,RJ,sim,166.0
82700,RJ,não,620.0
82701,RJ,sim,566.0
82702,RJ,sim,666.0
82703,RJ,sim,1100.0
82705,RJ,não,1200.0
82706,RJ,não,120.0
82707,RJ,sim,341.0
82708,RJ,sim,266.0
82709,RJ,sim,1200.0
82710,RJ,sim,386.0
82711,RJ,não,185.0
82712,RJ,não,592.0
82713,RJ,não,300.0
82715,RJ,não,1200.0
82716,RJ,não,800.0
82717,RJ,não,750.0
82719,RJ,não,440.0
82720,RJ,não,196.0
82721,RJ,não,900.0
82722,RJ,não,525.0
82723,RJ,não,979.0
