,UF,acesso_a_Internet,Renda_per_capita
81916,RJ,não,520.0
81917,RJ,sim,500.0
81918,RJ,sim,1225.0
81919,RJ,sim,393.0
81920,RJ,não,241.0
81921,RJ,sim,866.0
81922,RJ,não,87.0
81923,RJ,não,1500.0
81925,RJ,sim,362.0
81926,RJ,sim,1020.0
81927,RJ,sim,537.0
81929,RJ,não,362.0
81930,RJ,sim,718.0
81931,RJ,não,181.0
81933,RJ,não,247.0
81934,RJ,não,724.0
81935,RJ,sim,3000.0
81936,RJ,sim,8750.0
81937,RJ,sim,212.0
81939,RJ,sim,1762.0
81940,RJ,sim,500.0
81942,RJ,não,362.0
81945,RJ,sim,1000.0
81949,RJ,sim,1400.0
81953,RJ,sim,500.0
81955,RJ,sim,1448.0
81957,RJ,sim,733.0
81959,RJ,não,1770.0
81961,RJ,sim,541.0
81963,RJ,sim,394.0
81964,RJ,sim,833.0
81965,RJ,sim,456.0
81966,RJ,não,1500.0
81967,RJ,não,500.0
81968,RJ,sim,500.0
81969,RJ,não,190.0
81970,RJ,não,706.0
81971,RJ,sim,662.0
81972,RJ,não,362.0
81973,RJ,sim,480.0
81974,RJ,não,750.0
81975,RJ,sim,1933.0
81976,RJ,sim,975.0
81977,RJ,não,724.0
81979,RJ,não,500.0
81980,RJ,não,724.0
81981,RJ,não,150.0
81982,RJ,sim,316.0
81983,RJ,sim,1164.0
81984,RJ,sim,775.0
81985,RJ,sim,1099.0
81986,RJ,sim,1300.0
81987,RJ,não,1200.0
81988,RJ,sim,619.0
81989,RJ,não,724.0
81990,RJ,sim,1375.0
81991,RJ,sim,996.0
81992,RJ,não,227.0
81993,RJ,não,500.0
81994,RJ,não,850.0
81995,RJ,não,800.0
81996,RJ,sim,724.0
81997,RJ,sim,181.0
81998,RJ,sim,276.0
81999,RJ,não,75.0
82000,RJ,não,724.0
82001,RJ,não,400.0
82002,RJ,sim,1491.0
82003,RJ,sim,482.0
82004,RJ,sim,500.0
82005,RJ,sim,201.0
82006,RJ,sim,600.0
82007,RJ,não,308.0
82008,RJ,não,450.0
82009,RJ,sim,219.0
82010,RJ,não,406.0
82011,RJ,não,33.0
82012,RJ,sim,1050.0
82013,RJ,não,60.0
82014,RJ,não,740.0
82016,RJ,sim,500.0
82017,RJ,não,181.0
82018,RJ,sim,250.0
82019,RJ,não,775.0
82020,RJ,sim,500.0
82022,RJ,não,900.0
82023,RJ,não,798.0
82024,RJ,não,905.0
82025,RJ,não,482.0
82027,RJ,sim,1400.0
82029,RJ,sim,1300.0
82030,RJ,sim,450.0
82031,RJ,sim,856.0
82032,RJ,não,550.0
82033,RJ,não,362.0
82034,RJ,não,983.0
82036,RJ,não,350.0
82037,RJ,sim,500.0
82038,RJ,não,724.0
82039,RJ,não,1600.0
82040,RJ,sim,2650.0
82041,RJ,não,1291.0
82043,RJ,sim,666.0
82044,RJ,sim,1062.0
82045,RJ,sim,704.0
82046,RJ,sim,1875.0
82048,RJ,sim,1350.0
82049,RJ,não,600.0
82050,RJ,sim,1000.0
82051,RJ,sim,1200.0
82052,RJ,não,450.0
82053,RJ,sim,233.0
82058,RJ,não,1400.0
82060,RJ,não,526.0
82062,RJ,não,638.0
82064,RJ,sim,1066.0
82065,RJ,não,1190.0
82066,RJ,sim,475.0
82067,RJ,sim,525.0
82068,RJ,não,1700.0
82070,RJ,não,1448.0
82071,RJ,não,724.0
82072,RJ,não,2104.0
82073,RJ,não,600.0
82078,RJ,não,900.0
82079,RJ,não,724.0
82080,RJ,não,1086.0
82081,RJ,sim,2340.0
82082,RJ,não,1300.0
82083,RJ,sim,618.0
82084,RJ,não,1062.0
82087,RJ,sim,1050.0
82089,RJ,não,316.0
82093,RJ,sim,370.0
82094,RJ,não,264.0
82095,RJ,sim,1500.0
82096,RJ,sim,1000.0
82097,RJ,não,232.0
82100,RJ,não,1300.0
82101,RJ,não,1333.0
82103,RJ,sim,1450.0
82105,RJ,sim,2150.0
82106,RJ,sim,1750.0
82107,RJ,sim,2274.0
82109,RJ,sim,845.0
82110,RJ,não,362.0
82113,RJ,sim,1448.0
82122,RJ,não,1212.0
82123,RJ,sim,4666.0
