,UF,acesso_a_Internet,Renda_per_capita
82124,RJ,sim,14800.0
82127,RJ,sim,2900.0
82128,RJ,sim,750.0
82129,RJ,sim,1800.0
82130,RJ,sim,1100.0
82131,RJ,sim,4425.0
82132,RJ,não,508.0
82133,RJ,não,483.0
82134,RJ,não,962.0
82135,RJ,não,740.0
82136,RJ,sim,546.0
82137,RJ,não,733.0
82139,RJ,sim,666.0
82140,RJ,sim,631.0
82141,RJ,não,900.0
82142,RJ,sim,466.0
82143,RJ,sim,800.0
82144,RJ,não,448.0
82145,RJ,não,425.0
82147,RJ,não,355.0
82152,RJ,sim,1500.0
82153,RJ,sim,1308.0
82155,RJ,não,2500.0
82158,RJ,não,2000.0
82159,RJ,não,352.0
82160,RJ,não,2000.0
82164,RJ,sim,263.0
82167,RJ,sim,1500.0
82168,RJ,sim,724.0
82177,RJ,sim,901.0
82183,RJ,sim,4310.0
82184,RJ,sim,1500.0
82185,RJ,sim,482.0
82187,RJ,sim,1833.0
82189,RJ,sim,1800.0
82190,RJ,sim,1240.0
82191,RJ,sim,1833.0
82193,RJ,sim,1195.0
82194,RJ,sim,1500.0
82195,RJ,não,1289.0
82196,RJ,não,700.0
82197,RJ,não,3600.0
82198,RJ,sim,1539.0
82203,RJ,sim,1280.0
82205,RJ,sim,6162.0
82206,RJ,sim,1251.0
82209,RJ,sim,1950.0
82211,RJ,não,754.0
82212,RJ,não,313.0
82214,RJ,não,1300.0
82216,RJ,sim,6900.0
82219,RJ,sim,300.0
82223,RJ,sim,482.0
82227,RJ,sim,512.0
82228,RJ,não,1412.0
82229,RJ,sim,1400.0
82231,RJ,sim,1324.0
82232,RJ,sim,833.0
82233,RJ,sim,1149.0
82237,RJ,sim,4500.0
82239,RJ,não,724.0
82240,RJ,sim,1000.0
82241,RJ,não,3200.0
82242,RJ,sim,308.0
82243,RJ,não,903.0
82245,RJ,sim,418.0
82246,RJ,não,553.0
82247,RJ,não,550.0
82249,RJ,não,724.0
82250,RJ,não,303.0
82251,RJ,não,662.0
82252,RJ,não,702.0
82253,RJ,não,1362.0
82254,RJ,sim,1212.0
82255,RJ,não,440.0
82256,RJ,não,166.0
82257,RJ,não,334.0
82258,RJ,não,862.0
82259,RJ,não,666.0
82260,RJ,sim,2000.0
82273,RJ,sim,500.0
82289,RJ,sim,550.0
82298,RJ,não,3000.0
82300,RJ,não,628.0
82304,RJ,não,500.0
82305,RJ,sim,600.0
82307,RJ,não,846.0
82310,RJ,sim,866.0
82315,RJ,sim,450.0
82317,RJ,sim,260.0
82318,RJ,sim,1750.0
82319,RJ,sim,562.0
82320,RJ,sim,2333.0
82321,RJ,não,974.0
82322,RJ,sim,1000.0
82323,RJ,não,482.0
82324,RJ,não,850.0
82325,RJ,sim,433.0
82326,RJ,não,1195.0
82327,RJ,sim,783.0
82328,RJ,sim,1450.0
82330,RJ,sim,1483.0
82331,RJ,sim,574.0
82332,RJ,sim,1260.0
82333,RJ,não,1086.0
82334,RJ,não,60.0
82335,RJ,não,350.0
82336,RJ,sim,1025.0
82337,RJ,sim,200.0
82338,RJ,não,362.0
82339,RJ,não,241.0
82340,RJ,não,548.0
82341,RJ,sim,300.0
82342,RJ,sim,144.0
82343,RJ,não,400.0
82344,RJ,não,862.0
82345,RJ,não,500.0
82348,RJ,sim,281.0
82349,RJ,sim,4975.0
82350,RJ,não,537.0
82351,RJ,não,787.0
82352,RJ,não,375.0
82354,RJ,não,225.0
82355,RJ,sim,1033.0
82356,RJ,sim,604.0
82357,RJ,não,325.0
82358,RJ,não,458.0
82359,RJ,sim,892.0
82360,RJ,não,724.0
82361,RJ,não,1891.0
82362,RJ,sim,841.0
82363,RJ,não,294.0
82364,RJ,não,1000.0
82365,RJ,sim,633.0
82366,RJ,sim,2125.0
82367,RJ,não,108.0
82368,RJ,sim,525.0
82369,RJ,não,362.0
82370,RJ,não,900.0
82371,RJ,não,396.0
82372,RJ,não,500.0
82373,RJ,não,800.0
82374,RJ,sim,402.0
82375,RJ,sim,400.0
82377,RJ,sim,579.0
82379,RJ,sim,833.0
82380,RJ,não,362.0
82381,RJ,sim,724.0
82383,RJ,sim,1400.0
82384,RJ,não,724.0
82385,RJ,não,1100.0
82387,RJ,não,362.0
82388,RJ,sim,635.0
82389,RJ,não,1200.0
82392,RJ,sim,2512.0
82393,RJ,não,550.0
82394,RJ,sim,1375.0
82395,RJ,sim,3292.0
82396,RJ,não,66.0
82397,RJ,sim,733.0
82400,RJ,não,840.0
82401,RJ,sim,452.0
82402,RJ,sim,1220.0
82403,RJ,não,247.0
82406,RJ,não,2600.0
82407,RJ,não,1066.0
82408,RJ,não,469.0
82409,RJ,não,305.0
82410,RJ,não,750.0
82411,RJ,sim,1200.0
82412,RJ,não,750.0
82413,RJ,não,201.0
82414,RJ,não,936.0
82415,RJ,sim,1246.0
82416,RJ,sim,420.0
82418,RJ,não,900.0
82420,RJ,não,0.0
82421,RJ,não,520.0
82422,RJ,sim,600.0
82423,RJ,não,963.0
82424,RJ,sim,612.0
82425,RJ,sim,500.0
82427,RJ,não,824.0
82428,RJ,sim,662.0
82429,RJ,sim,500.0
82430,RJ,sim,990.0
82432,RJ,sim,500.0
82433,RJ,sim,290.0
82434,RJ,não,724.0
82435,RJ,sim,1600.0
82436,RJ,não,400.0
82437,RJ,não,1149.0
82438,RJ,não,762.0
82439,RJ,não,362.0
82440,RJ,sim,533.0
82441,RJ,sim,1074.0
82442,RJ,não,1200.0
82443,RJ,sim,259.0
82444,RJ,sim,1475.0
82445,RJ,sim,300.0
82446,RJ,não,800.0
82447,RJ,sim,480.0
82448,RJ,não,1000.0
82449,RJ,sim,1006.0
82450,RJ,não,500.0
82451,RJ,sim,362.0
82452,RJ,sim,362.0
82453,RJ,sim,300.0
82455,RJ,não,362.0
82456,RJ,sim,1686.0
82457,RJ,sim,456.0
82459,RJ,sim,1000.0
82460,RJ,não,0.0
82461,RJ,sim,1116.0
82462,RJ,não,724.0
82463,RJ,não,362.0
82464,RJ,sim,2066.0
82465,RJ,sim,1500.0
82466,RJ,não,724.0
82467,RJ,não,547.0
82468,RJ,sim,500.0
82469,RJ,sim,1320.0
82470,RJ,sim,440.0
82471,RJ,não,624.0
82472,RJ,sim,452.0
82473,RJ,não,778.0
82474,RJ,não,989.0
82475,RJ,não,800.0
82477,RJ,sim,1250.0
82480,RJ,não,500.0
82482,RJ,não,316.0
82483,RJ,não,800.0
82484,RJ,não,299.0
82486,RJ,não,333.0
82487,RJ,não,533.0
82489,RJ,não,1048.0
82492,RJ,não,500.0
82494,RJ,não,5000.0
82495,RJ,não,362.0
82498,RJ,sim,400.0
82499,RJ,sim,2050.0
82500,RJ,não,1500.0
82501,RJ,sim,862.0
82503,RJ,não,550.0
82504,RJ,não,513.0
82506,RJ,não,1500.0
82507,RJ,não,750.0
82508,RJ,não,800.0
82510,RJ,sim,774.0
82511,RJ,sim,544.0
82513,RJ,não,333.0
82514,RJ,sim,2566.0
82515,RJ,não,912.0
82516,RJ,não,850.0
82517,RJ,não,1000.0
82518,RJ,não,1450.0
82519,RJ,sim,1100.0
82520,RJ,não,752.0
82521,RJ,não,2350.0
82522,RJ,sim,1200.0
82523,RJ,não,1208.0
82524,RJ,sim,1050.0
82525,RJ,não,1725.0
82526,RJ,sim,1142.0
82527,RJ,sim,266.0
82528,RJ,sim,1566.0
82529,RJ,não,168.0
82530,RJ,não,1524.0
82532,RJ,não,320.0
82533,RJ,não,1200.0
82534,RJ,sim,1250.0
82535,RJ,sim,666.0
82537,RJ,não,425.0
82538,RJ,não,1300.0
82539,RJ,não,1100.0
82540,RJ,sim,833.0
82541,RJ,não,789.0
82542,RJ,sim,3200.0
82543,RJ,sim,1650.0
82544,RJ,sim,787.0
82545,RJ,não,966.0
82546,RJ,sim,641.0
82547,RJ,sim,1250.0
82548,RJ,sim,1800.0
82549,RJ,não,1600.0
82550,RJ,não,700.0
82551,RJ,sim,1362.0
82552,RJ,sim,2050.0
82553,RJ,sim,700.0
82554,RJ,sim,1172.0
82555,RJ,não,2670.0
82556,RJ,sim,882.0
82557,RJ,não,666.0
82559,RJ,não,1450.0
82560,RJ,não,725.0
82561,RJ,sim,1625.0
82562,RJ,sim,1100.0
82563,RJ,sim,2800.0
82564,RJ,sim,1166.0
82565,RJ,sim,2500.0
82566,RJ,sim,650.0
82567,RJ,sim,283.0
82568,RJ,sim,160.0
82569,RJ,sim,1700.0
82570,RJ,não,2650.0
82571,RJ,sim,728.0
82572,RJ,sim,2241.0
82573,RJ,não,725.0
82574,RJ,sim,1448.0
82577,RJ,sim,631.0
82579,RJ,não,725.0
82580,RJ,sim,145.0
82581,RJ,sim,400.0
82582,RJ,não,442.0
82583,RJ,sim,145.0
82584,RJ,não,395.0
82585,RJ,sim,333.0
82586,RJ,sim,1122.0
82587,RJ,não,725.0
82588,RJ,sim,746.0
82589,RJ,não,362.0
82590,RJ,não,30.0
82591,RJ,sim,831.0
82592,RJ,não,350.0
82593,RJ,sim,666.0
82594,RJ,não,362.0
82596,RJ,não,1400.0
82597,RJ,sim,462.0
82598,RJ,sim,600.0
82600,RJ,sim,482.0
82601,RJ,sim,1106.0
82602,RJ,sim,300.0
82603,RJ,não,342.0
82604,RJ,sim,989.0
82605,RJ,sim,362.0
82606,RJ,não,724.0
82608,RJ,não,1050.0
82609,RJ,sim,630.0
82610,RJ,não,724.0
82611,RJ,sim,256.0
82612,RJ,não,812.0
82614,RJ,sim,1074.0
82615,RJ,não,533.0
82616,RJ,sim,296.0
82617,RJ,sim,241.0
82618,RJ,não,1400.0
82619,RJ,sim,1212.0
82620,RJ,sim,384.0
82621,RJ,não,450.0
82622,RJ,não,1510.0
82623,RJ,não,325.0
82624,RJ,sim,925.0
82625,RJ,sim,596.0
82626,RJ,sim,812.0
82627,RJ,sim,856.0
82628,RJ,não,433.0
82629,RJ,não,416.0
82630,RJ,sim,645.0
82631,RJ,sim,850.0
82632,RJ,não,1210.0
82633,RJ,sim,1600.0
82634,RJ,não,1212.0
82635,RJ,sim,1331.0
82636,RJ,sim,1673.0
82637,RJ,sim,1274.0
82638,RJ,não,400.0
82639,RJ,não,483.0
82640,RJ,sim,373.0
82641,RJ,não,414.0
82642,RJ,não,900.0
82644,RJ,não,290.0
82645,RJ,não,219.0
82646,RJ,não,550.0
82647,RJ,não,725.0
82648,RJ,não,2720.0
82649,RJ,sim,600.0
82650,RJ,sim,430.0
82651,RJ,sim,800.0
82652,RJ,sim,541.0
82653,RJ,não,1475.0
82654,RJ,sim,450.0
82655,RJ,não,1500.0
82656,RJ,sim,390.0
82657,RJ,não,833.0
82658,RJ,não,357.0
82659,RJ,não,224.0
82660,RJ,sim,666.0
82661,RJ,não,483.0
82662,RJ,sim,587.0
82663,RJ,não,235.0
82664,RJ,não,254.0
82665,RJ,não,1100.0
82666,RJ,sim,1360.0
82667,RJ,sim,500.0
82668,RJ,sim,254.0
82669,RJ,sim,1133.0
82670,RJ,não,362.0
82671,RJ,não,468.0
82672,RJ,não,375.0
82673,RJ,sim,375.0
82674,RJ,não,720.0
82675,RJ,não,862.0
82676,RJ,sim,275.0
82677,RJ,não,263.0
82678,RJ,sim,881.0
82679,RJ,sim,946.0
82680,RJ,não,400.0
82681,RJ,não,22.0
82682,RJ,sim,3200.0
82683,RJ,não,1575.0
82684,RJ,sim,45.0
82685,RJ,não,475.0
82688,RJ,sim,650.0
82689,RJ,não,50.0
82690,RJ,não,120.0
82691,RJ,não,406.0
82693,RJ,não,1200.0
82694,RJ,sim,874.0
82695,RJ,não,800.0
82696,RJ,não,10.0
82697,RJ,não,1050.0
82698,RJ,sim,500.0
82700,RJ,não,447.0
82701,RJ,não,303.0
82702,RJ,sim,480.0
82703,RJ,sim,540.0
82704,RJ,sim,400.0
82705,RJ,não,837.0
82706,RJ,não,337.0
82707,RJ,não,675.0
82708,RJ,não,600.0
82709,RJ,não,1365.0
82710,RJ,sim,1100.0
82711,RJ,sim,1157.0
82712,RJ,sim,1233.0
82713,RJ,sim,450.0
82714,RJ,sim,300.0
82715,RJ,sim,833.0
82716,RJ,não,400.0
82717,RJ,não,700.0
82718,RJ,não,304.0
82719,RJ,não,2124.0
82720,RJ,não,50.0
82721,RJ,não,481.0
82722,RJ,não,400.0
82723,RJ,não,600.0
82724,RJ,sim,1350.0
82725,RJ,sim,1060.0
82726,RJ,não,2000.0
82727,RJ,não,600.0
82728,RJ,não,400.0
82729,RJ,não,577.0
82730,RJ,não,766.0
82731,RJ,não,500.0
82732,RJ,sim,197.0
82733,RJ,sim,2250.0
82734,RJ,não,641.0
82735,RJ,não,900.0
82736,RJ,sim,1000.0
82737,RJ,sim,887.0
82738,RJ,sim,598.0
82739,RJ,sim,266.0
82740,RJ,não,1325.0
82741,RJ,não,241.0
82742,RJ,não,150.0
82743,RJ,não,400.0
82744,RJ,não,397.0
82745,RJ,não,217.0
82746,RJ,sim,297.0
82747,RJ,não,623.0
82748,RJ,não,275.0
82749,RJ,sim,375.0
82750,RJ,não,55.0
82751,RJ,não,712.0
82752,RJ,sim,833.0
82753,RJ,não,533.0
82754,RJ,sim,766.0
82755,RJ,sim,1150.0
82756,RJ,não,700.0
82757,RJ,sim,800.0
82758,RJ,não,533.0
82759,RJ,não,1350.0
82760,RJ,sim,850.0
82761,RJ,não,433.0
82762,RJ,não,333.0
82763,RJ,sim,950.0
82764,RJ,não,1200.0
82765,RJ,sim,375.0
82766,RJ,não,400.0
82767,RJ,não,862.0
82768,RJ,não,360.0
82769,RJ,sim,285.0
82770,RJ,sim,683.0
82771,RJ,sim,344.0
82772,RJ,não,1086.0
82773,RJ,não,228.0
82774,RJ,não,153.0
82775,RJ,sim,724.0
82776,RJ,não,724.0
82779,RJ,sim,651.0
82780,RJ,não,724.0
82781,RJ,não,362.0
82782,RJ,não,749.0
82783,RJ,sim,1733.0
82784,RJ,sim,865.0
82785,RJ,não,1448.0
82786,RJ,sim,2833.0
82787,RJ,não,724.0
82788,RJ,sim,241.0
82789,RJ,sim,1500.0
82791,RJ,sim,800.0
82792,RJ,não,724.0
82793,RJ,sim,822.0
82794,RJ,sim,1833.0
82796,RJ,não,962.0
82797,RJ,não,566.0
82798,RJ,sim,2074.0
82799,RJ,não,1400.0
82800,RJ,sim,600.0
82801,RJ,não,1100.0
82803,RJ,sim,1400.0
82807,RJ,sim,5000.0
82810,RJ,sim,6500.0
82811,RJ,sim,2362.0
82812,RJ,sim,500.0
82813,RJ,sim,1500.0
82817,RJ,não,362.0
82818,RJ,não,4600.0
82819,RJ,sim,625.0
82820,RJ,não,408.0
82821,RJ,sim,1585.0
82823,RJ,sim,1166.0
82824,RJ,não,200.0
82825,RJ,não,500.0
82826,RJ,não,724.0
82827,RJ,sim,325.0
82828,RJ,não,1234.0
82830,RJ,sim,1882.0
82832,RJ,sim,724.0
82833,RJ,não,1086.0
82834,RJ,não,434.0
82835,RJ,não,724.0
82836,RJ,não,808.0
82837,RJ,não,536.0
82838,RJ,sim,971.0
82841,RJ,não,812.0
82842,RJ,não,1450.0
82844,RJ,sim,500.0
82845,RJ,não,750.0
82847,RJ,não,750.0
82849,RJ,sim,962.0
82853,RJ,sim,580.0
82854,RJ,sim,537.0
82858,RJ,não,1312.0
82861,RJ,sim,1600.0
82863,RJ,sim,974.0
82864,RJ,não,1448.0
82865,RJ,sim,401.0
82866,RJ,sim,2100.0
82867,RJ,sim,900.0
82868,RJ,não,450.0
82869,RJ,sim,2333.0
82870,RJ,não,613.0
82871,RJ,sim,362.0
82872,RJ,sim,850.0
82873,RJ,sim,2258.0
82876,RJ,sim,1675.0
82877,RJ,sim,850.0
82878,RJ,sim,75.0
82879,RJ,sim,446.0
82881,RJ,sim,862.0
82882,RJ,sim,455.0
82884,RJ,não,466.0
82886,RJ,não,503.0
82887,RJ,sim,433.0
82888,RJ,sim,988.0
82889,RJ,não,1000.0
82890,RJ,sim,1375.0
82892,RJ,sim,1112.0
82894,RJ,sim,1112.0
82895,RJ,sim,1450.0
82896,RJ,sim,421.0
82897,RJ,não,3100.0
82899,RJ,não,1400.0
82906,RJ,sim,7000.0
82916,RJ,sim,202.0
82917,RJ,sim,893.0
82918,RJ,sim,511.0
82919,RJ,sim,1050.0
82920,RJ,sim,526.0
82921,RJ,não,243.0
82922,RJ,não,724.0
82923,RJ,sim,724.0
82924,RJ,não,1900.0
82925,RJ,sim,264.0
82926,RJ,sim,512.0
82927,RJ,não,1200.0
82928,RJ,não,912.0
82929,RJ,sim,693.0
82930,RJ,sim,1344.0
82931,RJ,sim,754.0
82932,RJ,sim,1062.0
82933,RJ,não,1500.0
82934,RJ,sim,466.0
82936,RJ,sim,925.0
82937,RJ,sim,1100.0
82959,RJ,sim,233.0
82964,RJ,sim,982.0
82967,RJ,não,650.0
82971,RJ,sim,400.0
82975,RJ,sim,1100.0
82976,RJ,sim,1350.0
82979,RJ,sim,1250.0
82980,RJ,não,486.0
82981,RJ,sim,1833.0
82982,RJ,não,240.0
82983,RJ,sim,1000.0
82985,RJ,sim,2225.0
82986,RJ,sim,1274.0
82987,RJ,sim,840.0
82988,RJ,sim,1166.0
82990,RJ,não,1250.0
82992,RJ,sim,2250.0
82994,RJ,sim,500.0
82996,RJ,sim,724.0
82997,RJ,não,400.0
82998,RJ,sim,600.0
83001,RJ,não,3600.0
83002,RJ,não,841.0
83004,RJ,não,1566.0
83005,RJ,não,1162.0
83006,RJ,não,258.0
83007,RJ,não,650.0
83011,RJ,sim,400.0
83012,RJ,sim,2174.0
83014,RJ,sim,787.0
83019,RJ,não,1200.0
83023,RJ,sim,434.0
83027,RJ,não,508.0
83028,RJ,não,724.0
83029,RJ,sim,782.0
83030,RJ,não,212.0
83032,RJ,não,679.0
83033,RJ,não,500.0
83035,RJ,não,724.0
83036,RJ,não,1000.0
83037,RJ,não,362.0
83038,RJ,sim,350.0
83039,RJ,não,541.0
83040,RJ,não,1200.0
83041,RJ,sim,108.0
83043,RJ,sim,1050.0
83044,RJ,sim,2000.0
83045,RJ,sim,841.0
83050,RJ,não,362.0
83052,RJ,sim,482.0
83054,RJ,não,724.0
83055,RJ,sim,536.0
83056,RJ,não,1024.0
83057,RJ,não,400.0
83058,RJ,não,924.0
83059,RJ,não,1065.0
83060,RJ,sim,933.0
83061,RJ,sim,675.0
83062,RJ,não,724.0
83063,RJ,não,650.0
83064,RJ,sim,1066.0
83065,RJ,não,724.0
83067,RJ,sim,950.0
83068,RJ,não,724.0
83069,RJ,não,950.0
83070,RJ,sim,509.0
83071,RJ,sim,2033.0
83072,RJ,sim,1500.0
83073,RJ,sim,600.0
83076,RJ,não,558.0
83077,RJ,sim,1800.0
83078,RJ,sim,3700.0
83079,RJ,sim,10000.0
83081,RJ,não,425.0
83082,RJ,não,2014.0
83083,RJ,sim,1750.0
83084,RJ,sim,5000.0
83085,RJ,não,724.0
83086,RJ,não,724.0
83089,RJ,não,1724.0
83092,RJ,não,928.0
83094,RJ,não,400.0
83097,RJ,sim,1440.0
83104,RJ,sim,740.0
83105,RJ,sim,358.0
83106,RJ,sim,724.0
83107,RJ,sim,3500.0
83109,RJ,sim,837.0
83110,RJ,não,185.0
83112,RJ,não,800.0
83113,RJ,sim,513.0
83114,RJ,sim,500.0
83116,RJ,não,694.0
83117,RJ,sim,600.0
83118,RJ,não,2524.0
83119,RJ,sim,965.0
83120,RJ,sim,460.0
83121,RJ,sim,523.0
83122,RJ,não,900.0
83123,RJ,não,641.0
83128,RJ,não,890.0
83130,RJ,não,200.0
83131,RJ,não,420.0
83136,RJ,não,900.0
83137,RJ,sim,920.0
83139,RJ,sim,740.0
83140,RJ,sim,1350.0
83142,RJ,não,724.0
83143,RJ,sim,1625.0
83146,RJ,sim,975.0
83147,RJ,sim,724.0
83148,RJ,não,650.0
83149,RJ,sim,9500.0
83150,RJ,não,724.0
83152,RJ,sim,466.0
83154,RJ,sim,896.0
83155,RJ,sim,1775.0
83156,RJ,sim,482.0
83157,RJ,sim,2318.0
83158,RJ,não,812.0
83159,RJ,não,1024.0
83160,RJ,não,733.0
83162,RJ,não,1074.0
83163,RJ,sim,637.0
83164,RJ,não,409.0
83165,RJ,sim,550.0
83166,RJ,sim,543.0
83168,RJ,sim,1000.0
83169,RJ,sim,1200.0
83170,RJ,sim,4000.0
83172,RJ,sim,725.0
83174,RJ,não,406.0
83175,RJ,não,724.0
83176,RJ,não,700.0
83177,RJ,não,566.0
83179,RJ,não,300.0
83180,RJ,não,230.0
83181,RJ,não,543.0
83182,RJ,não,140.0
83183,RJ,não,261.0
83184,RJ,não,581.0
83185,RJ,sim,250.0
83186,RJ,sim,236.0
83187,RJ,não,391.0
83189,RJ,sim,3265.0
83192,RJ,sim,3066.0
83193,RJ,sim,1700.0
83194,RJ,não,6000.0
83195,RJ,não,1324.0
83198,RJ,sim,1062.0
83199,RJ,sim,0.0
83200,RJ,sim,1400.0
83204,RJ,sim,3250.0
83205,RJ,sim,1356.0
83206,RJ,sim,967.0
83207,RJ,sim,400.0
83208,RJ,não,1162.0
83209,RJ,sim,1000.0
83210,RJ,sim,800.0
83212,RJ,não,881.0
83213,RJ,sim,369.0
83214,RJ,não,700.0
83215,RJ,não,724.0
83216,RJ,não,250.0
83218,RJ,não,1200.0
83220,RJ,sim,586.0
83222,RJ,sim,404.0
83223,RJ,não,724.0
83224,RJ,não,500.0
83225,RJ,sim,1448.0
83226,RJ,não,2933.0
83227,RJ,sim,1574.0
83229,RJ,não,933.0
83230,RJ,não,714.0
83231,RJ,sim,724.0
83232,RJ,não,1700.0
83233,RJ,não,578.0
83234,RJ,não,103.0
83237,RJ,sim,1133.0
83238,RJ,não,555.0
83239,RJ,não,816.0
83240,RJ,sim,632.0
83241,RJ,não,724.0
83242,RJ,não,290.0
83243,RJ,não,724.0
83244,RJ,sim,1550.0
83245,RJ,sim,250.0
83246,RJ,sim,1287.0
83247,RJ,sim,164.0
83248,RJ,não,516.0
83249,RJ,não,724.0
83250,RJ,não,712.0
83251,RJ,não,1062.0
83252,RJ,sim,1750.0
83253,RJ,não,495.0
83254,RJ,não,3750.0
83255,RJ,sim,3125.0
83256,RJ,sim,1486.0
83257,RJ,não,1300.0
83258,RJ,sim,222.0
83259,RJ,não,4198.0
83260,RJ,sim,700.0
83261,RJ,não,1112.0
83263,RJ,sim,1850.0
83264,RJ,não,564.0
83266,RJ,não,724.0
83267,RJ,sim,482.0
83268,RJ,não,3780.0
83269,RJ,não,482.0
83270,RJ,sim,4100.0
83272,RJ,não,2117.0
83273,RJ,sim,1750.0
83274,RJ,sim,1475.0
83276,RJ,sim,1200.0
83277,RJ,sim,791.0
83278,RJ,sim,862.0
83279,RJ,não,750.0
83280,RJ,não,900.0
83281,RJ,não,2224.0
83282,RJ,não,200.0
83283,RJ,não,437.0
83284,RJ,não,1500.0
83285,RJ,não,2550.0
83286,RJ,sim,266.0
83288,RJ,sim,2500.0
83289,RJ,não,724.0
83290,RJ,não,1100.0
83291,RJ,não,276.0
83292,RJ,sim,360.0
83293,RJ,não,1149.0
83294,RJ,não,500.0
83295,RJ,sim,510.0
83296,RJ,não,333.0
83297,RJ,não,1200.0
83298,RJ,sim,66.0
83300,RJ,sim,362.0
83301,RJ,não,724.0
83302,RJ,não,302.0
83305,RJ,não,1362.0
83306,RJ,não,520.0
83307,RJ,não,417.0
83308,RJ,não,361.0
83309,RJ,sim,743.0
83310,RJ,não,192.0
83311,RJ,não,466.0
83312,RJ,sim,1000.0
83313,RJ,não,470.0
83314,RJ,não,241.0
83315,RJ,não,73.0
83318,RJ,sim,1000.0
83320,RJ,não,500.0
83321,RJ,não,2000.0
83322,RJ,não,240.0
